ProductName,IngredientsText,ContainsCrustacean,ContainsMilk,ContainsEgg,ContainsFish,ContainsNut,ContainsSoy,ContainsSulphite
MTR Ready to Eat Chana Masala,"- Ingredients : Water, Chickpea (25%), Tomato, Onion, Refined Sunflower Oil, Ginger, Ghee (Clarified Butter Fat), Coriander Leaves, Salt, Garlic, Cumin Powder, Green Chilli, Coriander Powder, Red Chilli Powder, Turmeric Powder, Cinnamon Powder, Big Cardamom Powder, Dry Mango Powder, Fenugreek Powder and Black Pepper Powder.",0,0,0,0,0,0,0
MTR Ready To Eat Paneer Butter Masala,"Water, Paneer (15%), Onion (14%), _ Tomato paste (7%), Refined sunflower oil, Cashew nuts (2.4%), Mixed spices, Salt, Sugar, Butter, Ghee, Red chilli, _ Ginger, Garlic, Coriander leaves, Dried Fenugreek leaves, Turmeric, Cumin, > Corn flour, and acidity regulator acetic acid (INS 260). a",0,0,0,0,1,0,0
MTR Dal Makhani,"‘Ingredients ""i Nater, Black gram dal (12%), Butter, raincic paste (4.3%), Red kidney bean: ma) 4%), Garlic (1.2%), Ginger, Refined _ sunflower oil, Salt, Dairy Cream, _Coriander leaves (0.2%), Red chilli, Green chilli, Mixed spices, Sugar, _and Dried fenugreek leaves.",0,0,0,0,0,0,0
MTR Breakfast Khatta Meetha Poha Mix,"Ingredients; Rice flakes vegetable fat-Interesterified (\ eaney Peerage Pete Ca ead min Green chilli, Curry leaves, Turmeric, Dry mango powder, Cumin, Mustard, Mallodevtin and Act regulators (Ciao (NS 330 and Taro acid (NS 34), CONTAINS NATURAL FLAVOURING SUBSTANCE, Allergen Advice: Contains Peanut and Mustard. May contain traces of Gluten,",0,0,0,0,1,0,0
MTR Vegetable Upma,"Ingredients : Semolina (72%), Edible Vegetable Fat -Interesterified (Palmolein Oil, Palm Kernel Oil), Dehydrated Carrot, Salt, Green Chilli, Ginger, Sugar, Bengal Gram, Curry Leaves, Mustard, Dehydrated Onion, Anticaking Agent Silica (Ins 551) And Acidity Regulator Citric Acid (Ins 330) And Tartaric Acid (Ins 334). Contains Added Nature Identical Flavouring Substances.",0,0,0,0,0,0,0
MTR 3 Min Poha,"Ingredients: Rice flakes (75%), Edible vegetable fat-Interesterified (Made from Palm oil, Palmjkernel oil), Peanuts, Dehydrated onion, Salt, Sugar, Green chilli) Curry o.. Turmeric, Mustard, Cumin, Maltodextrin, Acidity ulators (Citric acid (INS 330) and Tartaric acid (INS a. CONTAINS NATURAL FLAVOURING SUBSTANCE, Allergen Advice: Contains Peanut and Mustard. May contain traces of Gluten.",0,0,0,0,1,0,0
Cornitos Nacho Chips  Sizzlin Jalapeno,"Ingredients : Corn 70%, Edible Vegetable Oil, Sugar, Vegetable Powders, Salt, Spices & Herbs (Chilli, Ginger, Cinnamon, Clove, Oregano, Turmeric, Black Pepper & Parsley), Yeast Extract, Milk Solids, Food Colors, Hydrolyzed Vegetable Protein, Anti-Caking Agents, Food Colors, Acidulants.",0,1,0,0,0,0,0
Kurkure Yummy PuffCorn Yummy Cheese,"| fA ae INGREDIENTS Ne CEREAL PRODUCTS (67%) (CORN MEAL (53%), RICE MEAL), EDIBLE VEGETABLE OIL (PALMOLEIN), **SEASONING (SUGAR, LOOISEO SALT, MALTODEXTRIN, ~SPICES ANO CONDIMENTS, MILK SOLIOS, CHEESE, SALT SUBSTITUTE (POTASSIUM CHLORIOE), FLAVOUR (NATURAL ANO NATURE IDENTICAL FLAVOURING SUBSTANCES), FLAVOUR ENHANCERS (627, 631), ACIDITY REGULATORS (296 330), EMULSIFYING & STABILISING AGENT ((331(IL), 471, 327)), GRAM MEAL, FIRMING AGENT (170()), LOOISEO SALT. +AS FLAVOURING AGENT. “CONTAINS ONION ANO GARLIC ALLERGEN ADVICE: CONTAINS SOY, MILK, WHEAT >",0,1,0,0,0,1,0
Bingo! Mad Angles Achaari Masti,"Ingredients INGREDIENTS: RICE GRITS, SEASONING’ {REFINED PALMOLEIN, SUGAR, “SPICES AND CONDIMENTS, IODIZED SALT, NATURE IDENTICAL FLAVOURING SUBSTANCES, HYDROLYZED VEGETABLE PROTEIN AND NATURAL FLAVOURS AND NATURAL FLAVOURING SUBSTANCES}, REFINED PALMOLEIN, DEGERMED CORN GRITS AND BENGAL GRAM GRITS. *USED AS FLAVOURING AGENTS. CONTAINS SOY. MAY CONTAIN MILK, WHEAT",0,1,0,0,0,1,0
Kurkure Masala Munch,"Ingredients : Rice Meal, Edible Vegetable Oil, Corn Meal, Gram Meal, Spices And Condiments (onion Powder, Chilli Powder, Amchur, Coriander Seed Powder, Ginger Powder, Garlic Powder, Black Pepper Powder, Turmeric Powder, Spices Extracts, Fenugreek Leaf Powder), Salt, Black Salt, Tomato Powder, Suaar, Citric Acid. Tartaric Acid.",0,0,0,0,0,0,0
